VALUE,FREQ,COUNTRY,ID,UNIT_MULT,BASE_YEAR,TIME_FORMAT,PERIOD,DESCRIPTION.XML_LANG,DESCRIPTION
66025.159584433,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2003-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
66139.598284283,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2003-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
66782.765215421,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2004-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
67292.71432868,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2004-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
68065.413226881,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2004-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
68308.806831602,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2004-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
68182.412004997,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2005-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
69040.210882392,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2005-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
69519.329200128,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2005-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
70125.41015373,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2005-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
70945.241726512,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2006-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
71072.068748556,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2006-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
72013.460765852,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2006-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
72633.394551779,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2006-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
73468.585573109,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2007-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
74210.268152907,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2007-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
74448.563821186,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2007-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
75072.582413913,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2007-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
75689.212548355,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2008-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
