ID,DESCRIPTION.XML_LANG,DESCRIPTION
ESDE_XDR_USD_RATE,en,"Exchange Rates, SDR per US Dollar, End of Period"
ESDA_XDR_USD_RATE,en,"Exchange Rates, SDR per US Dollar, Period Average"
EDGE_XDR_OZT_RATE,en,"Exchange Rates, SDRs per ounce of Gold, End of period, Rate"
EDNE_USD_XDC_RATE,en,"Exchange Rates, US Dollar per Domestic Currency, End of Period"
EDNA_USD_XDC_RATE,en,"Exchange Rates, US Dollar per Domestic Currency, Period Average, Rate"
EDSE_USD_XDR_RATE,en,"Exchange Rates, US Dollar per SDR, End of period, Rate"
EDSA_USD_XDR_RATE,en,"Exchange Rates, US Dollar per SDR, Period average, Rate"
EDGE_USD_OZT_RATE,en,"Exchange Rates, US Dollars per ounce of gold, End of period, Rate"
NX_XDC,en,"Exports of Goods and Services, Nominal, Domestic Currency"
NX_SA_XDC,en,"Exports of Goods and Services, Nominal, Seasonally Adjusted, Domestic Currency"
NX_NSA_XDC,en,"Exports of Goods and Services, Nominal, Unadjusted, Domestic Currency"
NX_R_XDC,en,"Exports of Goods and Services, Real, Domestic Currency"
NX_R_SA_XDC,en,"Exports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency"
NX_R_NSA_XDC,en,"Exports of Goods and Services, Real, Unadjusted, Domestic Currency"
NXG_XDC,en,"Exports of Goods, Nominal, Domestic Currency"
NXG_SA_XDC,en,"Exports of Goods, Nominal, Seasonally Adjusted, Domestic Currency"
NXG_NSA_XDC,en,"Exports of Goods, Nominal, Unadjusted, Domestic Currency"
NXG_R_XDC,en,"Exports of Goods, Real, Domestic Currency"
NXG_R_SA_XDC,en,"Exports of Goods, Real, Seasonally Adjusted, Domestic Currency"
NXG_R_NSA_XDC,en,"Exports of Goods, Real, Unadjusted, Domestic Currency"
NXS_XDC,en,"Exports of Services, Nominal, Domestic Currency"
NXS_SA_XDC,en,"Exports of Services, Nominal, Seasonally Adjusted, Domestic Currency"
NXS_NSA_XDC,en,"Exports of Services, Nominal, Unadjusted, Domestic Currency"
NXS_R_XDC,en,"Exports of Services, Real, Domestic Currency"
NXS_R_SA_XDC,en,"Exports of Services, Real, Seasonally Adjusted, Domestic Currency"
NXS_R_NSA_XDC,en,"Exports of Services, Real, Unadjusted, Domestic Currency"
NNXGS_XDC,en,"External Balance of Goods and Services, Nominal, Domestic Currency"
NNXGS_SA_XDC,en,"External Balance of Goods and Services, Nominal, Seasonally Adjusted, Domestic Currency"
NNXGS_NSA_XDC,en,"External Balance of Goods and Services, Nominal, Unadjusted, Domestic Currency"
NNXGS_R_XDC,en,"External Balance of Goods and Services, Real, Domestic Currency"
NNXGS_R_SA_XDC,en,"External Balance of Goods and Services, Real, Seasonally Adjusted, Domestic Currency"
NNXGS_R_NSA_XDC,en,"External Balance of Goods and Services, Real, Unadjusted, Domestic Currency"
TXG_D_FOB_USD_IX,en,"External Trade, Goods, Deflator/Unit Value of Exports, Free on Board (FOB), in US Dollars, Index"
TXG_D_FOB_IX,en,"External Trade, Goods, Deflator/Unit Value of Exports, Free on Board (FOB), Index"
TXG_D_FOB_PC_CP_A_PT,en,"External Trade, Goods, Deflator/Unit Value of Exports, Free on Board (FOB), Percentage change, corresponding period previous year, Percent"
TXG_D_FOB_PC_PP_PT,en,"External Trade, Goods, Deflator/Unit Value of Exports, Free on Board (FOB), Percentage change, previous period, Percent"
TMG_D_CIF_USD_IX,en,"External Trade, Goods, Deflator/Unit Value of Imports, Cost Insurance Freight (CIF), in US Dollars, Index"
TMG_D_CIF_IX,en,"External Trade, Goods, Deflator/Unit Value of Imports, Cost Insurance Freight (CIF), Index"
TMG_D_CIF_PC_CP_A_PT,en,"External Trade, Goods, Deflator/Unit Value of Imports, Cost Insurance Freight (CIF), Percentage change, corresponding period previous year, Percent"
TMG_D_CIF_PC_PP_PT,en,"External Trade, Goods, Deflator/Unit Value of Imports, Cost Insurance Freight (CIF), Percentage change, previous period, Percent"
TXG_FOB_XDC,en,"External Trade, Goods, Value of Exports, Free on Board (FOB), Domestic Currency"
TXG_FOB_PC_CP_A_PT,en,"External Trade, Goods, Value of Exports, Free on Board (FOB), Percentage change, corresponding period previous year, Percent"
